cast
Henry Cavill
Miguel Ángel Fuentes
Chloë Grace Moretz
James Caan
Mary Steenburgen
James Marsden
Paddy Considine
Gary Stretch
Toby Kebbell
Stuart Wolfenden
Jeff Bridges
Mackenzie Foy
Rachel McAdams
Marion Cotillard
Frank Langella
Michael Sheen
Kevin Bacon
Sam Rockwell
Sam Riley
Samantha Morton
Craig Parkinson
Alexandra Maria Lara
Brahim Hadjadj
Jean Martin
Yacef Saadi
Samia Kerbash
"""PredragMiki Manojlovic"""
Lazar Ristovski
Mirjana Jokovic
Slavko Stimac
Tatsuya Fujiwara
" ""Kenichi Matsuyama"""
Asaka Seto
Yû Kashii
Boris Karloff
Elsa Lanchester
Colin Clive
Valerie Hobson
Haluk Bilginer
Melisa Sözen
Demet Akbag
Ayberk Pekcan
Hrithik Roshan
Farhan Akhtar
Abhay Deol
Katrina Kaif
Peter Dinklage
Patricia Clarkson
Bobby Cannavale
Paul Benjamin
Bernard-Pierre Donnadieu
Gene Bervoets
Johanna ter Steege
Gwen Eckhaus
Shah Rukh Khan
Gayatri Joshi
Kishori Ballal
Smit Sheth
Pierre Brasseur
Alida Valli
Juliette Mayniel
Alexandre Rignault
Jack Lemmon
Walter Matthau
John Fiedler
Herb Edelman
Rena Owen
Temuera Morrison
Mamaengaroa Kerr-Bell
Julian Arahanga
Catherine Deneuve
Ian Hendry
John Fraser
Yvonne Furneaux
Tatsuya Nakadai
Tsutomu Yamazaki
" ""Kenichi Hagiwara"""
Jinpachi Nezu
Tim Roth
Pruitt Taylor Vince
Mélanie Thierry
Bill Nunn
John Cameron Mitchell
Miriam Shor
Stephen Trask
Theodore Liscinski
Ingrid Bergman
Liv Ullmann
Lena Nyman
Halvar Björk
Werner Krauss
Conrad Veidt
Friedrich Feher
Lil Dagover
Victor Sjöström
Bibi Andersson
Ingrid Thulin
Gunnar Björnstrand
Winona Ryder
Gena Rowlands
Lisanne Falk
Alan Randolph Scott
Robert Donat
Madeleine Carroll
Lucie Mannheim
Godfrey Tearle
Alain Delon
François Périer
Nathalie Delon
Cathy Rosier
Mohanlal
Meena
Asha Sharath
Ansiba
Christian Friedel
Ernst Jacobi
Leonie Benesch
Ulrich Tukur
Gael García Bernal
Rodrigo De la Serna
Mía Maestro
Mercedes Morán
Dave Johns
Hayley Squires
Sharon Percy
Briana Shann
Shahab Hosseini
Taraneh Alidoosti
Babak Karimi
Mina Sadati
Teresa Wright
Joseph Cotten
Macdonald Carey
Henry Travers
Seung-Yun Lee
Hee Jae
Hyuk-ho Kwon
Jin-mo Joo
William Holden
Don Taylor
Otto Preminger
Robert Strauss
Zbigniew Zamachowski
Julie Delpy
Janusz Gajos
Jerzy Stuhr
Sanjeev Kumar
Dharmendra
Amitabh Bachchan
Amjad Khan
Bérénice Bejo
Tahar Rahim
Ali Mosaffa
Pauline Burlet
Toshirô Mifune
Misa Uehara
Minoru Chiaki
Kamatari Fujiwara
Rita Hayworth
Glenn Ford
George Macready
Joseph Calleia
Jean Servais
Carl Möhner
Robert Manuel
Janine Darcey
Mads Mikkelsen
Sidse Babett Knudsen
Rolf Lassgård
Neeral Mulchandani
Robert Mitchum
Jane Greer
Kirk Douglas
Rhonda Fleming
Madhavan
Vijay Sethupathi
Shraddha Srinath
Kathir
Magali Noël
Bruno Zanin
Pupella Maggio
Armando Brancia
Paul Muni
Ann Dvorak
Karen Morley
Osgood Perkins
Javier Bardem
Belén Rueda
Lola Dueñas
Mabel Rivera
Audrey Hepburn
Alan Arkin
Richard Crenna
Efrem Zimbalist Jr.
Oksana Akinshina
Artyom Bogucharskiy
Pavel Ponomaryov
Lyubov Agapova
Chishû Ryû
Chieko Higashiyama
Sô Yamamura
Setsuko Hara
Cary Grant
Priscilla Lane
Raymond Massey
Jack Carson
Geoffrey Rush
Armin Mueller-Stahl
Justin Braine
Sonia Todd
Wagner Moura
André Ramiro
Caio Junqueira
Milhem Cortaz
Gregory Peck
Robert Mitchum
Polly Bergen
Lori Martin
Aoi Miyazaki
Takao Osawa
Haru Kuroki
Yukito Nishii
Claude Rains
Gloria Stuart
William Harrigan
Henry Travers
Vladimir Garin
Ivan Dobronravov
Konstantin Lavronenko
Nataliya Vdovina
Gene Tierney
Dana Andrews
Clifton Webb
Vincent Price
Yves Montand
Charles Vanel
Peter van Eyck
Folco Lulli
Toshirô Mifune
Minoru Chiaki
Isuzu Yamada
Takashi Shimura
Chiara Mastroianni
Catherine Deneuve
Gena Rowlands
Danielle Darrieux
Harriet Andersson
Liv Ullmann
Kari Sylwan
Ingrid Thulin
Groucho Marx
Harpo Marx
Chico Marx
Zeppo Marx
Massimo Troisi
Philippe Noiret
Maria Grazia Cucinotta
Renato Scarpa
Irrfan Khan
Nimrat Kaur
Nawazuddin Siddiqui
Lillete Dubey
Beau Billingslea
Melissa Fahn
Nicholas Guest
Kôichi Yamadera
Humphrey Bogart
Gloria Grahame
Frank Lovejoy
Carl Benton Reid
Gaspard Manesse
Raphael Fejtö
Francine Racette
Stanislas Carré de Malberg
Sener Sen
Ugur Yücel
Sermin Hürmeriç
Yesim Salkim
Giulietta Masina
François Périer
Franca Marzi
Dorian Gray
Mikael Persbrandt
Trine Dyrholm
Markus Rygaard
Wil Johnson
Karlheinz Böhm
Anna Massey
Moira Shearer
Maxine Audley
Günes Sensoy
Doga Zeynep Doguslu
Tugba Sunguroglu
Elit Iscan
Moritz Bleibtreu
Christian Berkel
Oliver Stokowski
Wotan Wilke Möhring
Michèle Caucheteux
Jean-Claude Donda
Michel Robin
Monica Viegas
William Powell
Myrna Loy
" ""Maureen OSullivan"""
Nat Pendleton
Aamir Khan
Soha Ali Khan
Siddharth
Sharman Joshi
Shah Rukh Khan
Kajol
Sheetal Menon
Katie A. Keane
Tom Waits
John Lurie
Roberto Benigni
Nicoletta Braschi
Tôru Emori
Yoshiaki Umegaki
Aya Okamoto
Shôzô Îzuka
Anna Karina
Sady Rebbot
André S. Labarthe
Guylaine Schlumberger
Miki Imai
Toshirô Yanagiba
Yoko Honna
Mayumi Izuka
Celia Johnson
Trevor Howard
Stanley Holloway
Joyce Carey
Nikolay Burlyaev
Valentin Zubkov
Evgeniy Zharikov
Stepan Krylov
Margaret Lockwood
Michael Redgrave
Paul Lukas
May Whitty
Kirk Douglas
Jan Sterling
Robert Arthur
Porter Hall
Aleksandr Antonov
Vladimir Barskiy
Grigoriy Aleksandrov
Ivan Bobrov
Carole Lombard
Jack Benny
Robert Stack
Felix Bressart
Çetin Tekindor
Ismail Hacioglu
Kyung-jin Lee
Kim Seol
Fernando Rey
Delphine Seyrig
Paul Frankeur
Bulle Ogier
Andrew Philpot
John Rafter Lee
Pamela Adlon
Wendee Lee
Anton Walbrook
Marius Goring
Moira Shearer
Robert Helpmann
Walter Matthau
Robert Shaw
Martin Balsam
Hector Elizondo
Jean-Louis Trintignant
Stefania Sandrelli
Gastone Moschin
Enzo Tarascio
Vijay Varma
Nakul Roshan Sahdev
Ranveer Singh
Vijay Raaz
Veerle Baetens
Johan Heldenbergh
Nell Cattrysse
Geert Van Rampelberg
Yash
Srinidhi Shetty
Ramachandra Raju
Archana Jois
Jet Li
Li Sun
Yong Dong
Yun Qu
Preity Zinta
Shah Rukh Khan
Saif Ali Khan
Jaya Bachchan
John Wayne
Montgomery Clift
Joanne Dru
Walter Brennan
Yasuo Yamada
Eiko Masuyama
Kiyoshi Kobayashi
Makio Inoue
Andreas Wilson
Henrik Lundström
Gustaf Skarsgård
Linda Zilliacus
Martin Landau
Woody Allen
Bill Bernstein
Claire Bloom
Tallulah Bankhead
John Hodiak
Walter Slezak
William Bendix
Buster Keaton
Marion Mack
Glen Cavender
Jim Farley
Muhammet Uzuner
Yilmaz Erdogan
Taner Birsel
Ahmet Mümtaz Taylan
Jeanne Moreau
Oskar Werner
Henri Serre
Vanna Urbino
Gérard Jugnot
François Berléand
Jean-Baptiste Maunier
Kad Merad
Eser Sariyar
Çetin Tekindor
Fikret Kuskan
Hümeyra
Laurence Olivier
Michael Caine
Alec Cawthorne
John Matthews
Leslie Cheung
Fengyi Zhang
Gong Li
You Ge
Riisa Naka
Takuya Ishida
Mitsutaka Itakura
Ayami Kakiuchi
Salman Khan
Harshaali Malhotra
Nawazuddin Siddiqui
Kareena Kapoor
Simone Signoret
Véra Clouzot
Paul Meurisse
Charles Vanel
James Marsden
Gary Oldman
Kurt Russell
Matthew Edison
Chow Yun-Fat
Tony Chiu-Wai Leung
Teresa Mo
Philip Chan
Branko Djuric
Rene Bitorajac
Filip Sovagovic
Georges Siatidis
"""George OBrien"""
Janet Gaynor
Margaret Livingston
Bodil Rosing
Golshifteh Farahani
Shahab Hosseini
Taraneh Alidoosti
" ""Merila Zarei"""
Dennis Price
Alec Guinness
Valerie Hobson
Joan Greenwood
Paddy Considine
Samantha Morton
Djimon Hounsou
Sarah Bolger
Gong Li
Jingwu Ma
Saifei He
Cuifen Cao
Ray Milland
Jane Wyman
Phillip Terry
Howard Da Silva
Masahiro Motoki
Ryôko Hirosue
Tsutomu Yamazaki
Kazuko Yoshiyuki
Diane Kruger
Benno Fürmann
Guillaume Canet
Natalie Dessay
Charles Chaplin
Mack Swain
Tom Murray
Henry Bergman
Bajram Severdzan
" ""SrdjanZika Todorovic"""
Branka Katic
Florijan Ajdini
Anamaria Marinca
Laura Vasiliu
Vlad Ivanov
Alexandru Potocean
Ranbir Kapoor
Nargis Fakhri
Shammi Kapoor
Kumud Mishra
Takeshi Kitano
Kayoko Kishimoto
Ren Osugi
Susumu Terajima
Takako Matsu
Yoshino Kimura
Masaki Okada
Yukito Nishii
Aamir Khan
Raghuvir Yadav
Gracy Singh
Rachel Shelley
Luis Tosar
Alberto Ammann
Antonio Resines
Manuel Morón
Maria Falconetti
Eugene Silvain
André Berley
Maurice Schutz
Kangana Ranaut
Rajkummar Rao
Lisa Haydon
Jeffrey Ho
Yûya Yagira
Ayu Kitaura
Hiei Kimura
Momoko Shimizu
Buster Keaton
Kathryn McGuire
Joe Keaton
Erwin Connelly
Tae-Hyun Cha
Jun Ji-Hyun
In-mun Kim
Song Wok-suk
Prabhas
Rana Daggubati
Anushka Shetty
Tamannaah Bhatia
Mia Farrow
Jeff Daniels
Danny Aiello
Irving Metzman
Silvia Pinal
Jacqueline Andere
Enrique Rambal
José Baviera
Gabriele Ferzetti
Monica Vitti
Lea Massari
Dominique Blanchar
Max von Sydow
Birgitta Valberg
Gunnel Lindblom
Birgitta Pettersson
Aamir Khan
Saif Ali Khan
Akshaye Khanna
Preity Zinta
Emmanuelle Riva
Eiji Okada
Stella Dassas
Pierre Barbaud
Chow Yun-Fat
Danny Lee
Sally Yeh
Kong Chu
Vidya Balan
Parambrata Chattopadhyay
Indraneil Sengupta
Nawazuddin Siddiqui
Sushant Singh Rajput
Shraddha Kapoor
Varun Sharma
Prateik
Burt Lancaster
Tony Curtis
Susan Harrison
Martin Milner
Edmund Gwenn
" ""Maureen OHara"""
John Payne
Gene Lockhart
Rajat Barmecha
Ronit Roy
Manjot Singh
Ram Kapoor
Irrfan Khan
Konkona Sen Sharma
Neeraj Kabi
Sohum Shah
Sanjay Dutt
Arshad Warsi
Gracy Singh
Sunil Dutt
Vicky Kaushal
Paresh Rawal
Mohit Raina
Yami Gautam
Lee Yeong-ae
Lee Byung-Hun
Kang-ho Song
Kim Tae-Woo
Rajesh Khanna
Amitabh Bachchan
Sumita Sanyal
Ramesh Deo
Ricardo Darín
Gastón Pauls
Graciela Tenenbaum
María Mercedes Villagra
Eileen Walsh
Dorothy Duffy
Nora-Jane Noone
Anne-Marie Duff
Shahid Kapoor
Tabu
Shraddha Kapoor
Kay Kay Menon
Jean Gabin
Dita Parlo
Pierre Fresnay
Erich von Stroheim
Akshay Kumar
Sunil Shetty
Paresh Rawal
Tabu
Ranbir Kapoor
Priyanka Chopra
" ""Ileana DCruz"""
Saurabh Shukla
Shah Rukh Khan
Kajol
Amrish Puri
Farida Jalal
Fernanda Montenegro
Vinícius de Oliveira
Marília Pêra
Soia Lira
Margaret Sullavan
James Stewart
Frank Morgan
Joseph Schildkraut
Ayushmann Khurrana
Neena Gupta
Gajraj Rao
Sanya Malhotra
Groucho Marx
Chico Marx
Harpo Marx
Kitty Carlisle
Wagner Moura
Irandhir Santos
André Ramiro
Milhem Cortaz
James Cagney
Virginia Mayo
" ""Edmond OBrien"""
Margaret Wycherly
Woody Allen
Mia Farrow
Patrick Horgan
John Buckwalter
Woody Allen
Diane Keaton
Georges Adet
Frank Adu
Akshay Kumar
Danny Denzongpa
Rana Daggubati
Taapsee Pannu
Shah Rukh Khan
Preity Zinta
Rani Mukerji
Kirron Kher
Shahid Kapoor
Kareena Kapoor
Tarun Arora
Dara Singh
Toshirô Mifune
Tatsuya Nakadai
Keiju Kobayashi
Yûnosuke Itô
Marcel Dalio
Nora Gregor
Paulette Dubost
Mila Parély
Thierry Lhermitte
Jacques Villeret
Francis Huster
Daniel Prévost
Til Schweiger
Jan Josef Liefers
Thierry van Werveke
Moritz Bleibtreu
Anupam Kher
Naseeruddin Shah
Jimmy Sheirgill
Aamir Bashir
Charles Chaplin
Merna Kennedy
Al Ernest Garcia
Harry Crocker
Akshay Kumar
Anupam Kher
Manoj Bajpayee
Jimmy Sheirgill
Jang Dong-Gun
Won Bin
Eun-ju Lee
Hyeong-jin Kong
Alia Bhatt
Vicky Kaushal
Rajit Kapoor
Shishir Sharma
Shah Rukh Khan
Vidya Malvade
Sagarika Ghatge
Shilpa Shukla
Michel Côté
Marc-André Grondin
Danielle Proulx
Émile Vallée
Aamir Khan
Salman Khan
Raveena Tandon
Karisma Kapoor
Shahid Kapoor
Alia Bhatt
Kareena Kapoor
Diljit Dosanjh
Baki Davrak
Nurgül Yesilçay
Tuncel Kurtiz
Nursel Köse
Abhay Deol
Mahie Gill
Kalki Koechlin
Dibyendu Bhattacharya
Irrfan Khan
Mahie Gill
Rajesh Abhay
Hemendra Dandotiya
Michael Caine
Kermit the Frog
Dave Goelz
Miss Piggy
Sridevi
Adil Hussain
Mehdi Nebbou
Priya Anand
Yilmaz Erdogan
Demet Akbag
Altan Erkekli
Cem Yilmaz
Akshay Kumar
Nimrat Kaur
Kumud Mishra
Prakash Belawadi
Cem Yilmaz
Özge Özberk
Ozan Güven
Safak Sezer
Farhan Akhtar
Sonam Kapoor
Pawan Malhotra
Art Malik
Amit Sadh
Sushant Singh Rajput
Rajkummar Rao
Amrita Puri
Paresh Rawal
Akshay Kumar
Mithun Chakraborty
Mahesh Manjrekar
Sushant Singh Rajput
Kiara Advani
Anupam Kher
Disha Patani
Sanjay Dutt
Arshad Warsi
Vidya Balan
Boman Irani
Ayushmann Khurrana
Yami Gautam
Annu Kapoor
Dolly Ahluwalia
Mete Horozoglu
Ilker Kizmaz
Baris Bagci
Özgür Eren Koç
Amitabh Bachchan
Rani Mukerji
Shernaz Patel
Ayesha Kapoor
